Expr Log Ratio,Note,ID,Symbol,Entrez Gene Name,Location,Type(s)
2.703,inside,Ppp6r1,PPP6R1,protein phosphatase 6 regulatory subunit 1,Cytoplasm,other
2.703,downstream,Prl2c2,Prl2c2 (includes others),"prolactin family 2, subfamily c, member 2",Extracellular Space,growth factor
2.703,downstream,Prl2c3,Prl2c2 (includes others),"prolactin family 2, subfamily c, member 2",Extracellular Space,growth factor
2.703,inside,Ptpn13,PTPN13,"protein tyrosine phosphatase, non-receptor type 13",Cytoplasm,phosphatase
2.703,upstream,Reln,RELN,reelin,Extracellular Space,peptidase
2.703,downstream,Rpl27a-ps2,Rpl27a-ps2,"ribosomal protein L27A, pseudogene 2",Other,other
2.703,upstream,Sfmbt1,SFMBT1,Scm-like with four mbt domains 1,Nucleus,transcription regulator
2.703,upstream,Slc13a1,SLC13A1,solute carrier family 13 member 1,Plasma Membrane,transporter
2.703,upstream,Slc22a27,SLC22A25,solute carrier family 22 member 25,Other,other
2.703,upstream,Slc35f4,SLC35F4,solute carrier family 35 member F4,Other,other
2.703,downstream,Slfn1,Slfn1,schlafen 1,Nucleus,enzyme
2.703,downstream,Slxl1,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.703,downstream,Snord73a,Snord73a,"small nucleolar RNA, C/D box U73A",Other,other
2.703,inside,Sorcs3,SORCS3,sortilin related VPS10 domain containing receptor 3,Nucleus,transporter
2.703,upstream,St3gal4,ST3GAL4,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4",Cytoplasm,enzyme
2.703,upstream,Tbc1d20,TBC1D20,TBC1 domain family member 20,Nucleus,other
2.703,inside,Tcte3,Tcte3,t-complex-associated testis expressed 3,Extracellular Space,other
2.703,upstream,Themis,THEMIS,thymocyte selection associated,Cytoplasm,other
2.703,inside,Tlr8,TLR8,toll like receptor 8,Plasma Membrane,transmembrane receptor
2.703,upstream,Tmem132c,TMEM132C,transmembrane protein 132C,Other,other
2.703,inside,Tspyl3,Tspyl3,TSPY-like 3,Other,other
2.703,downstream,Ttll7,TTLL7,tubulin tyrosine ligase like 7,Cytoplasm,enzyme
2.703,inside,Vnn3,Vnn3,vanin 3,Cytoplasm,enzyme
2.703,upstream,Vprbp,DCAF1,DDB1 and CUL4 associated factor 1,Nucleus,kinase
2.703,upstream,Vwc2l,Vwc2l,von Willebrand factor C domain-containing protein 2-like,Extracellular Space,other
2.703,upstream,Zfp600,ZNF616,zinc finger protein 616,Nucleus,other
2.671,inside,Ankar,ANKAR,ankyrin and armadillo repeat containing,Nucleus,transcription regulator
2.649,downstream,4933427I04Rik,4933427I04Rik,Riken cDNA 4933427I04 gene,Other,other
2.649,inside,Agfg1,AGFG1,ArfGAP with FG repeats 1,Nucleus,other
2.649,downstream,Dab2,DAB2,"DAB2, clathrin adaptor protein",Plasma Membrane,other
2.649,upstream,Dmrta1,DMRTA1,DMRT like family A1,Extracellular Space,other
2.649,overlapEnd,Fam89a,FAM89A,family with sequence similarity 89 member A,Other,other
2.649,inside,Fshr,FSHR,follicle stimulating hormone receptor,Plasma Membrane,G-protein coupled receptor
2.649,downstream,Ggh,GGH,gamma-glutamyl hydrolase,Cytoplasm,peptidase
2.649,upstream,Gm2810,Gm2810,"corepressor interacting with RBPJ, 1 pseudogene",Other,other
2.649,inside,Gm3259,C87414 (includes others),expressed sequence C87414,Other,other
2.649,upstream,Gm8840,Gm8840,predicted gene 8840,Other,other
2.649,upstream,Hdhd2,HDHD2,haloacid dehalogenase like hydrolase domain containing 2,Cytoplasm,other
2.649,upstream,Hook1,HOOK1,hook microtubule tethering protein 1,Cytoplasm,other
2.649,upstream,Hspa9,HSPA9,heat shock protein family A (Hsp70) member 9,Cytoplasm,other
2.649,inside,Kynu,KYNU,kynureninase,Cytoplasm,enzyme
2.649,upstream,Lig3,LIG3,DNA ligase 3,Nucleus,enzyme
2.649,inside,Nipa2,NIPA2,non imprinted in Prader-Willi/Angelman syndrome 2,Cytoplasm,other
2.649,upstream,Olfr1333,Olfr1331/Olfr1333,olfactory receptor 1331,Plasma Membrane,G-protein coupled receptor
2.649,downstream,Papd7,PAPD7,"poly(A) RNA polymerase D7, non-canonical",Nucleus,enzyme
2.649,downstream,Ppp4r2,PPP4R2,protein phosphatase 4 regulatory subunit 2,Cytoplasm,other
2.649,upstream,Sephs2,SEPHS2,selenophosphate synthetase 2,Other,enzyme
2.621,upstream,AV320801,Pramel3 (includes others),preferentially expressed antigen in melanoma-like 3,Other,other
2.621,upstream,Gm15023,Pramel3 (includes others),preferentially expressed antigen in melanoma-like 3,Other,other
2.621,downstream,Gm15730,Gm15730,predicted gene 15730,Other,other
2.604,upstream,Syt5,SYT5,synaptotagmin 5,Cytoplasm,transporter
2.604,inside,Wdfy1,Wdfy1,WD repeat and FYVE domain containing 1,Cytoplasm,other
2.604,inside,Wdfy1,Wdfy1,WD repeat and FYVE domain containing 1,Cytoplasm,other
2.578,upstream,Tnfrsf10b,TNFRSF10A,TNF receptor superfamily member 10a,Plasma Membrane,transmembrane receptor
2.563,upstream,Tmem106c,TMEM106C,transmembrane protein 106C,Other,other
2.534,downstream,2510039O18Rik,KIAA2013,KIAA2013,Other,other
2.534,upstream,3830406C13Rik,C3orf14,chromosome 3 open reading frame 14,Other,other
2.534,upstream,4933405O20Rik,4933405O20Rik,RIKEN cDNA 4933405O20 gene,Cytoplasm,other
2.534,upstream,4933412E24Rik,4933412E24Rik,RIKEN cDNA 4933412E24 gene,Other,other
2.534,upstream,Adam26b,Adam26a/Adam26b,a disintegrin and metallopeptidase domain 26A (testase 3),Other,peptidase
2.534,upstream,Adcyap1,ADCYAP1,adenylate cyclase activating polypeptide 1,Extracellular Space,other
2.534,upstream,Arhgap24,ARHGAP24,Rho GTPase activating protein 24,Cytoplasm,other
2.534,downstream,Bmp10,BMP10,bone morphogenetic protein 10,Extracellular Space,growth factor
2.534,inside,Cyp2c66,CYP2C9,cytochrome P450 family 2 subfamily C member 9,Cytoplasm,enzyme
2.534,downstream,Cyp4f15,CYP4F8,cytochrome P450 family 4 subfamily F member 8,Cytoplasm,enzyme
2.534,upstream,Dcn,DCN,decorin,Extracellular Space,other
2.534,upstream,Dgkb,DGKB,diacylglycerol kinase beta,Cytoplasm,kinase
2.534,upstream,Dsg1b,DSG1,desmoglein 1,Plasma Membrane,other
2.534,upstream,Far2,FAR2,fatty acyl-CoA reductase 2,Cytoplasm,enzyme
2.534,inside,Fhit,FHIT,fragile histidine triad,Cytoplasm,enzyme
2.534,upstream,Foxq1,FOXQ1,forkhead box Q1,Nucleus,transcription regulator
2.534,downstream,Gm10118,Gm10118,predicted gene 10118,Other,other
2.534,upstream,Gm10145,Gm10145,predicted gene 10145,Other,other
2.534,downstream,Gm12428,Gm12428,14-3-3 protein eta pseudogene,Other,other
2.534,upstream,Gm13050,Gm13050,eukaryotic translation elongation factor pseudogene,Other,other
2.534,downstream,Gm13904,Gm13904,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3 pseudogene",Other,other
2.534,upstream,Gm15210,IMPDH2,inosine monophosphate dehydrogenase 2,Cytoplasm,enzyme
2.534,downstream,Gm15319,4930467E23Rik (includes others),RIKEN cDNA 4930467E23 gene,Other,other
2.534,downstream,Gm5742,Gm5742,thymidine kinase 1 pseudogene,Other,other
2.534,downstream,Gm5742,Gm5742,thymidine kinase 1 pseudogene,Other,other
2.534,inside,Gm7803,Gm7803,heterogeneous nuclear ribonucleoprotein F pseudogene,Other,other
2.534,upstream,Gm829,Gm829,predicted gene 829,Other,other
2.534,overlapStart,Gm9833,Gm9833,"myelin basic protein expression factor 2, repressor pseudogene",Other,other
2.534,upstream,Gpr101,GPR101,G protein-coupled receptor 101,Plasma Membrane,G-protein coupled receptor
2.534,inside,Gpr141,Gpr141,G protein-coupled receptor 141,Other,other
2.534,upstream,Hsd17b7,HSD17B7,hydroxysteroid 17-beta dehydrogenase 7,Cytoplasm,enzyme
2.534,upstream,Ifi204,IFI16,interferon gamma inducible protein 16,Nucleus,transcription regulator
2.534,inside,Mcrs1,MCRS1,microspherule protein 1,Nucleus,other
2.534,inside,Mug2,Mug1 (includes others),murinoglobulin 1,Extracellular Space,transporter
2.534,upstream,Nkain3,NKAIN3,sodium/potassium transporting ATPase interacting 3,Other,other
2.534,inside,Pcnp,PCNP,PEST proteolytic signal containing nuclear protein,Nucleus,other
2.534,upstream,Penk,PENK,proenkephalin,Extracellular Space,other
2.534,upstream,Ralbp1,RALBP1,ralA binding protein 1,Cytoplasm,enzyme
2.534,inside,Rit2,RIT2,Ras like without CAAX 2,Plasma Membrane,enzyme
2.534,upstream,Rpe,RPE,ribulose-5-phosphate-3-epimerase,Cytoplasm,enzyme
2.534,upstream,Slc35f4,SLC35F4,solute carrier family 35 member F4,Other,other
2.534,upstream,Stard4,STARD4,StAR related lipid transfer domain containing 4,Cytoplasm,transporter
2.534,upstream,Synpo2,SYNPO2,synaptopodin 2,Cytoplasm,other
2.534,downstream,Tns1,TNS1,tensin 1,Plasma Membrane,other
2.534,downstream,Tns1,TNS1,tensin 1,Plasma Membrane,other
2.534,downstream,Utp14b,UTP14C,"UTP14, small subunit processome component homolog C (S. cerevisiae)",Nucleus,other
2.534,inside,Wdr5,WDR5,WD repeat domain 5,Nucleus,enzyme
2.534,upstream,Zfp869,ZNF91,zinc finger protein 91,Nucleus,transcription regulator
2.472,upstream,1700080E11Rik,1700080E11Rik,RIKEN cDNA 1700080E11 gene,Other,other
2.472,downstream,Kif22-ps,Kif22-ps,"kinesin family member 22, pseudogene",Other,other
2.46,upstream,Gm3757,SPIN2A/SPIN2B,spindlin family member 2A,Other,other
2.46,upstream,Vmn2r34,Vmn2r32 (includes others),"vomeronasal 2, receptor 32",Plasma Membrane,G-protein coupled receptor
2.44,upstream,BC002059,BC002059,cDNA sequence BC002059,Other,other
2.44,upstream,Clec2g,Clec2g,"C-type lectin domain family 2, member G",Other,other
2.44,upstream,Cnbd1,CNBD1,cyclic nucleotide binding domain containing 1,Other,other
2.44,downstream,Gm13333,Gm13333,NSA2 ribosome biogenesis homolog pseudogene,Other,other
2.44,inside,Gm14509,Gm14509,zinc finger protein 161 pseudogene,Other,other
2.44,upstream,Ide,IDE,insulin degrading enzyme,Extracellular Space,peptidase
2.44,downstream,Mdfic,MDFIC,MyoD family inhibitor domain containing,Nucleus,other
2.44,upstream,Mir124a-3,mir-124,microRNA 124-1,Cytoplasm,microRNA
2.44,upstream,Smpd1,SMPD1,sphingomyelin phosphodiesterase 1,Cytoplasm,enzyme
2.44,upstream,Tomm20l,TOMM20L,translocase of outer mitochondrial membrane 20 like,Other,other
2.44,upstream,Zfp933,Zfp933,zinc finger protein 933,Other,other
2.415,upstream,Igfbp5,IGFBP5,insulin like growth factor binding protein 5,Extracellular Space,other
2.408,upstream,6530409C15Rik,6530409C15Rik,RIKEN cDNA 6530409C15 gene,Other,other
2.408,upstream,Aff3,AFF3,AF4/FMR2 family member 3,Nucleus,transcription regulator
2.408,downstream,Akt2-ps,Akt2-ps,"thymoma viral proto-oncogene 2, pseudogene",Other,other
2.408,upstream,Apeh,APEH,acylaminoacyl-peptide hydrolase,Cytoplasm,peptidase
2.408,upstream,Arl13b,ARL13B,ADP ribosylation factor like GTPase 13B,Extracellular Space,other
2.408,inside,Atp6v1e1,ATP6V1E1,ATPase H+ transporting V1 subunit E1,Cytoplasm,transporter
2.408,upstream,Cbs,CBS/CBSL,cystathionine-beta-synthase,Cytoplasm,enzyme
2.408,downstream,Cdh26,CDH26,cadherin 26,Plasma Membrane,other
2.408,upstream,Chmp4b,Chmp4b,charged multivesicular body protein 4B,Cytoplasm,other
2.408,inside,Crim1,CRIM1,cysteine rich transmembrane BMP regulator 1,Extracellular Space,kinase
2.408,downstream,Dsel,DSEL,dermatan sulfate epimerase-like,Extracellular Space,enzyme
2.408,downstream,F2rl3,F2RL3,F2R like thrombin/trypsin receptor 3,Plasma Membrane,G-protein coupled receptor
2.408,downstream,Fndc1,FNDC1,fibronectin type III domain containing 1,Plasma Membrane,other
2.408,inside,Gaa,GAA,"glucosidase alpha, acid",Cytoplasm,enzyme
2.408,inside,Gdap2,GDAP2,ganglioside induced differentiation associated protein 2,Cytoplasm,other
2.408,upstream,Gm10275,Gm10275,Rpl12 pseudogene,Other,other
2.408,downstream,Gm10323,Gm10323,predicted gene 10323,Other,other
2.408,downstream,Gm10488,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.408,upstream,Gm11743,Gm11743,CWC22 spliceosome-associated protein homolog pseudogene,Other,other
2.408,downstream,Gm13882,Gm13882,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Other,other
2.408,upstream,Gm14334,Gm14334,"spindlin family, member 2 pseudogene",Other,other
2.408,downstream,Gm15000,Gm15000,zinc finger protein 259 pseudogene,Other,other
2.408,downstream,Gm2005,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.408,downstream,Gm7816,Gm7816,"DnaJ (Hsp40) homolog, subfamily A, member 1 pseudogene",Other,other
2.408,downstream,Haus8,HAUS8,HAUS augmin like complex subunit 8,Cytoplasm,other
2.408,downstream,Ier5,IER5,immediate early response 5,Other,other
2.408,upstream,Lim2,LIM2,lens intrinsic membrane protein 2,Plasma Membrane,other
2.408,downstream,Lyplal1,LYPLAL1,lysophospholipase like 1,Cytoplasm,enzyme
2.408,inside,Maoa,MAOA,monoamine oxidase A,Cytoplasm,enzyme
2.408,inside,Mpped1,MPPED1,metallophosphoesterase domain containing 1,Other,other
2.408,upstream,Nrg3,NRG3,neuregulin 3,Extracellular Space,growth factor
2.408,downstream,Odf2l,ODF2L,outer dense fiber of sperm tails 2 like,Cytoplasm,other
2.408,downstream,Olfr1390,Olfr1390,olfactory receptor 1390,Plasma Membrane,G-protein coupled receptor
2.408,upstream,Pcdh10,Pcdh10,protocadherin 10,Other,other
2.408,inside,Pitpnm3,PITPNM3,PITPNM family member 3,Cytoplasm,transporter
2.408,upstream,Prl3b1,Prl3b1,"prolactin family 3, subfamily b, member 1",Extracellular Space,growth factor
2.408,upstream,Prokr1,PROKR1,prokineticin receptor 1,Plasma Membrane,G-protein coupled receptor
2.408,upstream,Rasa1,RASA1,RAS p21 protein activator 1,Cytoplasm,transporter
2.408,upstream,Spred2,SPRED2,sprouty related EVH1 domain containing 2,Extracellular Space,cytokine
2.408,inside,Syde2,SYDE2,synapse defective Rho GTPase homolog 2,Cytoplasm,other
2.408,inside,Sytl3,SYTL3,synaptotagmin like 3,Cytoplasm,other
2.408,upstream,Tac1,TAC1,tachykinin precursor 1,Extracellular Space,other
2.408,upstream,Tacr3,TACR3,tachykinin receptor 3,Plasma Membrane,G-protein coupled receptor
2.408,downstream,Tdrd3,TDRD3,tudor domain containing 3,Nucleus,transcription regulator
2.408,downstream,Tle4,TLE4,transducin like enhancer of split 4,Nucleus,transcription regulator
2.408,inside,Ube2cbp,UBE3D,ubiquitin protein ligase E3D,Other,other
2.408,inside,Zfp60,Zfp60,zinc finger protein 60,Nucleus,other
2.382,inside,Cenpo,CENPO,centromere protein O,Nucleus,other
2.382,upstream,Gm12475,Gm12475,"polymerase (DNA-directed), delta 3, accessory subunit pseudogene",Other,other
2.382,upstream,Gm5621,Gm5621,predicted gene 5621,Other,other
2.382,upstream,Nrsn1,NRSN1,neurensin 1,Plasma Membrane,other
2.382,upstream,Tomm20l,TOMM20L,translocase of outer mitochondrial membrane 20 like,Other,other
2.341,upstream,Abra,ABRA,actin binding Rho activating protein,Cytoplasm,other
2.341,upstream,Arhgef26,ARHGEF26,Rho guanine nucleotide exchange factor 26,Plasma Membrane,other
2.341,downstream,Ccdc68,Ccdc68,coiled-coil domain containing 68,Other,other
2.341,inside,Dpf3,Dpf3,double PHD fingers 3,Nucleus,other
2.341,upstream,Fundc2,Fundc2,FUN14 domain containing 2,Cytoplasm,other
2.341,upstream,Gm10340,Gm10408 (includes others),predicted gene 3115,Other,other
2.341,downstream,Gm3404,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other
2.341,downstream,Gm5742,Gm5742,thymidine kinase 1 pseudogene,Other,other
2.341,upstream,Gm9788,Gm9788,developmental pluripotency associated 2 pseudogene,Other,other
2.341,upstream,Gm9788,Gm9788,developmental pluripotency associated 2 pseudogene,Other,other
2.341,upstream,Hapln1,HAPLN1,hyaluronan and proteoglycan link protein 1,Extracellular Space,other
2.341,upstream,Hapln1,HAPLN1,hyaluronan and proteoglycan link protein 1,Extracellular Space,other
2.341,inside,Kcnd2,KCND2,potassium voltage-gated channel subfamily D member 2,Plasma Membrane,ion channel
2.341,inside,Mep1a,MEP1A,meprin A subunit alpha,Plasma Membrane,peptidase
2.341,upstream,Ncam2,NCAM2,neural cell adhesion molecule 2,Plasma Membrane,other
2.341,upstream,Oog4,Oog4,oogenesin 4,Other,other
2.341,upstream,Ppp1r9a,PPP1R9A,protein phosphatase 1 regulatory subunit 9A,Plasma Membrane,other
2.341,upstream,Rpe,RPE,ribulose-5-phosphate-3-epimerase,Cytoplasm,enzyme
2.341,inside,Stk31,STK31,serine/threonine kinase 31,Cytoplasm,kinase
2.341,inside,Stx11,STX11,syntaxin 11,Plasma Membrane,transporter
2.341,downstream,Tas2r103,Tas2r103,"taste receptor, type 2, member 103",Other,other
2.341,downstream,Tas2r117,Tas2r117,"taste receptor, type 2, member 117",Other,other
2.311,upstream,Gm11809,Gm11809,PRP3 pre-mRNA processing factor 3 homolog pseudogene,Other,other
2.311,downstream,Gm13233,Gm13233,predicted gene 13233,Other,other
2.299,inside,2410141K09Rik,2410141K09Rik,RIKEN cDNA 2410141K09 gene,Other,other
2.299,upstream,Ednrb,EDNRB,endothelin receptor type B,Plasma Membrane,G-protein coupled receptor
2.299,downstream,Has2,HAS2,hyaluronan synthase 2,Plasma Membrane,enzyme
2.299,upstream,Igbp1,IGBP1,immunoglobulin binding protein 1,Cytoplasm,phosphatase
2.299,overlapStart,Rps6-ps1,Rps6-ps1,"ribosomal protein S6, pseudogene 1",Other,other
2.284,upstream,Gm10634,4921528I07Rik (includes others),predicted gene 10634,Other,other
2.283,upstream,Fn1,FN1,fibronectin 1,Extracellular Space,enzyme
2.271,upstream,1600002H07Rik,C16orf59,chromosome 16 open reading frame 59,Other,other
2.271,downstream,3830408C21Rik,3830408C21Rik,RIKEN cDNA 3830408C21 gene,Other,other
2.271,upstream,4921530L21Rik,4921530L21Rik,RIKEN cDNA 4921530L21 gene,Other,other
2.271,upstream,4921530L21Rik,4921530L21Rik,RIKEN cDNA 4921530L21 gene,Other,other
2.271,upstream,5730508B09Rik,C4orf32,chromosome 4 open reading frame 32,Other,other
2.271,inside,9230109A22Rik,9230109A22Rik,RIKEN cDNA 9230109A22 gene,Other,other
2.271,upstream,A230050P20Rik,C19orf66,chromosome 19 open reading frame 66,Other,other
2.271,inside,Actr3b,ACTR3B,ARP3 actin related protein 3 homolog B,Cytoplasm,other
2.271,upstream,Adam2,ADAM2,ADAM metallopeptidase domain 2,Plasma Membrane,peptidase
2.271,inside,Adk,ADK,adenosine kinase,Nucleus,kinase
2.271,upstream,Amy2a5,AMY2B,"amylase, alpha 2B (pancreatic)",Extracellular Space,enzyme
2.271,inside,Ankrd28,ANKRD28,ankyrin repeat domain 28,Cytoplasm,other
2.271,upstream,Apc,APC,"APC, WNT signaling pathway regulator",Nucleus,enzyme
2.271,upstream,Atp8a1,ATP8A1,ATPase phospholipid transporting 8A1,Cytoplasm,transporter
2.271,upstream,Atxn2l,ATXN2L,ataxin 2 like,Nucleus,other
2.271,inside,Baiap2l1,BAIAP2L1,BAI1 associated protein 2 like 1,Cytoplasm,other
2.271,downstream,Bloc1s3,BLOC1S3,biogenesis of lysosomal organelles complex 1 subunit 3,Cytoplasm,transporter
2.271,downstream,Casp12,Casp12,caspase 12,Cytoplasm,peptidase
2.271,upstream,Chrm3,CHRM3,cholinergic receptor muscarinic 3,Plasma Membrane,G-protein coupled receptor
2.271,upstream,Cntn4,CNTN4,contactin 4,Plasma Membrane,enzyme
2.271,inside,Cse1l,CSE1L,chromosome segregation 1 like,Nucleus,transporter
2.271,upstream,Ddx3x,Ddx3x,"DEAD-box helicase 3, X-linked",Cytoplasm,enzyme
2.271,downstream,Dpcd,Dpcd,deleted in primary ciliary dyskinesia,Nucleus,other
2.271,downstream,Dtymk,DTYMK,deoxythymidylate kinase,Cytoplasm,kinase
2.271,inside,Epc2,EPC2,enhancer of polycomb homolog 2,Other,other
2.271,inside,Erbb4,ERBB4,erb-b2 receptor tyrosine kinase 4,Plasma Membrane,kinase
2.271,inside,Fam163a,FAM163A,family with sequence similarity 163 member A,Other,other
2.271,downstream,Fam49a,FAM49A,family with sequence similarity 49 member A,Other,other
2.271,upstream,Fat4,Fat4,FAT atypical cadherin 4,Cytoplasm,other
2.271,upstream,Fat4,Fat4,FAT atypical cadherin 4,Cytoplasm,other
2.271,downstream,Fkbp10,FKBP10,FK506 binding protein 10,Cytoplasm,enzyme
2.271,upstream,Gbp10,GBP6,guanylate binding protein family member 6,Cytoplasm,enzyme
2.271,upstream,Gm10167,Gm10167,predicted pseudogene 10167,Other,other
2.271,upstream,Gm10293,Gm10293,glyceraldehyde-3-phosphate dehydrogenase pseudogene,Other,other
2.271,upstream,Gm10295,Gm10295,predicted gene 10295,Other,other
2.271,downstream,Gm10408,Gm10408 (includes others),predicted gene 3115,Other,other
2.271,upstream,Gm10486,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.271,upstream,Gm10488,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.271,upstream,Gm11227,Gm11227,predicted gene 11227,Other,other
2.271,downstream,Gm11783,Gm11783,predicted gene 11783,Other,other
2.271,inside,Gm14548,LILRB3,leukocyte immunoglobulin like receptor B3,Plasma Membrane,transmembrane receptor
2.271,upstream,Gm14632,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.271,upstream,Gm15080,Ott (includes others),ovary testis transcribed,Other,other
2.271,upstream,Gm2223,Gm2223,predicted pseudogene 2223,Other,other
2.271,upstream,Gm2892,Gm2892/LOC668961,spindlin 2 family member,Other,other
2.271,upstream,Gm3676,Gm3676/Gm8138,predicted gene 8138,Other,other
2.271,upstream,Gm4822,Gm4822,U1 small nuclear ribonucleoprotein 1C pseudogene,Other,other
2.271,upstream,Gm5160,Gm5160,peptidylprolyl isomerase A pseudogene chr18_148.1,Other,other
2.271,downstream,Gm649,Gm649,melanoma antigen family A pseudogene,Other,other
2.271,upstream,Gm6587,Gm6587,Hmgb1 pseudogene,Other,other
2.271,upstream,Gm8822,Gm8822,ARP3 actin-related protein 3 homolog pseudogene,Other,other
2.271,upstream,Gm9427,Gm9427,"spindlin family, member 2 pseudogene",Other,other
2.271,upstream,Gnai1,GNAI1,G protein subunit alpha i1,Plasma Membrane,enzyme
2.271,inside,H2-Q5,H2-Q5,"histocompatibility 2, Q region locus 5",Other,other
2.271,inside,Hace1,HACE1,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,Cytoplasm,enzyme
2.271,downstream,Ighv15-2,Ighv15-2,immunoglobulin heavy variable V15-2,Other,other
2.271,upstream,Il23r,IL23R,interleukin 23 receptor,Plasma Membrane,transmembrane receptor
2.271,inside,Kcnk10,KCNK10,potassium two pore domain channel subfamily K member 10,Plasma Membrane,ion channel
2.271,inside,Kng2,Kng1/Kng2,kininogen 2,Extracellular Space,other
2.271,upstream,Lyrm2,LYRM2,LYR motif containing 2,Cytoplasm,other
2.271,upstream,Mpp7,MPP7,membrane palmitoylated protein 7,Plasma Membrane,other
2.271,inside,Mtdh,MTDH,metadherin,Cytoplasm,transcription regulator
2.271,downstream,Nme2,NME2,NME/NM23 nucleoside diphosphate kinase 2,Nucleus,kinase
2.271,downstream,Nov,NOV,nephroblastoma overexpressed,Extracellular Space,growth factor
2.271,inside,Nrp2,NRP2,neuropilin 2,Plasma Membrane,kinase
2.271,downstream,Olfm1,OLFM1,olfactomedin 1,Cytoplasm,other
2.271,downstream,Olfr248,Olfr248,olfactory receptor 248,Plasma Membrane,G-protein coupled receptor
2.271,downstream,Olfr566,Olfr566 (includes others),olfactory receptor 566,Plasma Membrane,G-protein coupled receptor
2.271,downstream,Pcdh7,PCDH7,protocadherin 7,Plasma Membrane,other
2.271,downstream,Pdha2,Pdha2,pyruvate dehydrogenase E1 alpha 2,Cytoplasm,enzyme
2.271,upstream,Ppp1r12a,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",Cytoplasm,phosphatase
2.271,upstream,Pus1,PUS1,pseudouridylate synthase 1,Nucleus,enzyme
2.271,upstream,Raet1d,Raet1d,retinoic acid early transcript delta,Plasma Membrane,other
2.271,downstream,Rgs18,RGS18,regulator of G protein signaling 18,Cytoplasm,other
2.271,upstream,Rps15a-ps1,Rps15a-ps1,"ribosomal protein S15A, pseudogene 1",Other,other
2.271,inside,Rsph3b,RSPH3,radial spoke 3 homolog,Other,other
2.271,upstream,Slc38a1,SLC38A1,solute carrier family 38 member 1,Plasma Membrane,transporter
2.271,upstream,Spaca4,SPACA4,sperm acrosome associated 4,Other,other
2.271,inside,Srp54b,SRP54,signal recognition particle 54,Cytoplasm,other
2.271,downstream,Srp54c,Srp54c,signal recognition particle 54C,Other,other
2.271,inside,Srsf10,Srsf10,serine and arginine rich splicing factor 10,Nucleus,other
2.271,inside,Thsd7b,THSD7B,thrombospondin type 1 domain containing 7B,Other,other
2.271,upstream,Tmem181b-ps,Tmem181b-ps,"transmembrane protein 181B, pseudogene",Other,other
2.271,downstream,Tns1,TNS1,tensin 1,Plasma Membrane,other
2.271,upstream,Tns1,TNS1,tensin 1,Plasma Membrane,other
2.271,inside,Traf3ip2,TRAF3IP2,TRAF3 interacting protein 2,Cytoplasm,other
2.271,upstream,Trhde,TRHDE,thyrotropin releasing hormone degrading enzyme,Plasma Membrane,peptidase
2.271,downstream,Trpm6,TRPM6,transient receptor potential cation channel subfamily M member 6,Plasma Membrane,kinase
2.271,inside,Vmn2r51,Vmn2r32 (includes others),"vomeronasal 2, receptor 32",Plasma Membrane,G-protein coupled receptor
2.271,upstream,Vnn1,VNN1,vanin 1,Plasma Membrane,enzyme
2.271,inside,Xrn2,XRN2,5'-3' exoribonuclease 2,Nucleus,enzyme
2.271,downstream,Zbbx,ZBBX,zinc finger B-box domain containing,Other,other
2.271,downstream,Zfp317,ZNF317,zinc finger protein 317,Nucleus,other
2.271,inside,Zfp521,ZNF521,zinc finger protein 521,Nucleus,other
2.271,overlapStart,Zfy1,Zfy1/Zfy2,"zinc finger protein 1, Y-linked",Nucleus,other
2.25,inside,Bod1,BOD1,biorientation of chromosomes in cell division 1,Nucleus,other
2.234,upstream,Akap8l,AKAP8L,A-kinase anchoring protein 8 like,Nucleus,other
2.234,inside,Amd1,AMD1,adenosylmethionine decarboxylase 1,Cytoplasm,enzyme
2.234,upstream,Bard1,BARD1,BRCA1 associated RING domain 1,Nucleus,transcription regulator
2.234,upstream,BC030870,BC030870,cDNA sequence BC030870,Other,other
2.234,downstream,BC061212,A430089I19Rik (includes others),uncharacterized LOC545763,Other,other
2.234,inside,Ccnb3,CCNB3,cyclin B3,Nucleus,other
2.234,downstream,Cep120,CEP120,centrosomal protein 120,Cytoplasm,other
2.234,inside,Cux1,CUX1,cut like homeobox 1,Nucleus,transcription regulator
2.234,upstream,Dmrt3,DMRT3,doublesex and mab-3 related transcription factor 3,Nucleus,transcription regulator
2.234,upstream,Esrrg,ESRRG,estrogen related receptor gamma,Nucleus,ligand-dependent nuclear receptor
2.234,upstream,Gm13809,Gm13809,lactate dehydrogenase A pseudogene,Other,other
2.234,upstream,Gm14819,Gm4836 (includes others),predicted gene 4836,Nucleus,other
2.234,downstream,Gm1840,Gm1840,glucose phosphate isomerase 1 pseudogene,Other,other
